Station,Reading,Time,Date,Elevation,Height,Water,Ice,Terrain,Slope,X,Y,Longitude,Latitude,Gravity,TideCorr,Bouguer,FreeAir,Source
075,2146.985,10:40:00,2019/12/08,256.79,0,0,0,0,0,247424.038345035,7718833.12181991,-41.4235331666667,-20.6127041666667,978552.141488122,0.127244278788567,-69.432682595365,-40.6987813875249,08122019_965
076,2136.435,11:02:00,2019/12/08,301.89,0,0,0,0,0,248424.683924815,7718788.98199631,-41.4139444166667,-20.613237,978541.465384798,0.117963165044785,-71.2693155909854,-37.4888824135454,08122019_965
077,2085.87,11:56:00,2019/12/08,575.85,0,0,0,0,0,249773.933880652,7718940.02266321,-41.4009851388889,-20.6120536944444,978490.317292206,0.0852210819721222,-68.4592646646864,-4.02366744308637,08122019_965
078,2066.83,12:17:00,2019/12/08,690.92,0,0,0,0,0,249899.664298396,7718517.46504436,-41.3998393055556,-20.6158853333333,978471.057182893,0.0696869716048241,-65.3129646673858,11.9985623489342,08122019_965
079,2070.2,12:45:00,2019/12/08,680.4,0,0,0,0,0,250252.270299599,7718106.59057424,-41.3965161666667,-20.6196416944444,978474.4371954,0.04764574021101,-64.2255919013559,11.9087839770441,08122019_965
080,2053.095,13:13:00,2019/12/08,772.35,0,0,0,0,0,250944.945603512,7718295.67660366,-41.3898471388889,-20.6180266388889,978457.124704928,0.0251365303993225,-63.3555243497295,23.0677343358705,08122019_965
081,2040.19,13:39:00,2019/12/08,846.62,0,0,0,0,0,251422.314905793,7718012.60306026,-41.3853092777778,-20.6206455555556,978444.059227922,0.00485877227038145,-61.9678651423756,32.7659463011444,08122019_965
082,2050.12,14:13:00,2019/12/08,800.02,0,0,0,0,0,251629.488496014,7718011.7212804,-41.3833226944444,-20.6206809444444,978454.065962515,-0.0192103125154972,-61.1294319754761,28.3900027544439,08122019_965
083,2042.735,14:46:00,2019/12/08,847.89,0,0,0,0,0,251731.340334331,7717005.95557495,-41.3824873333333,-20.6297746666667,978446.57921808,-0.0383504331111908,-59.7410637101114,35.1348562833286,08122019_965
084,2045.965,15:02:00,2019/12/08,835.41,0,0,0,0,0,251794.387874286,7716690.96485984,-41.3819269722222,-20.6326268055556,978449.833989727,-0.0457206293940544,-59.1107868859981,34.3686648373619,08122019_965
085,2048.71,15:33:00,2019/12/08,835.62,0,0,0,0,0,251658.316426775,7715971.41682593,-41.3833331666667,-20.639105,978452.593846913,-0.0558991506695747,-56.6951079023898,36.8078420851302,08122019_965
086,2048.62,16:00:00,2019/12/08,830.45,0,0,0,0,0,251967.602545265,7715723.69527939,-41.3804016944444,-20.6413824166667,978452.495217118,-0.0600376911461353,-57.9462155163781,34.9782295868219,08122019_965
087,2047.77,16:30:00,2019/12/08,833.11,0,0,0,0,0,252198.823297683,7716410.61879366,-41.3780876388889,-20.6352113055556,978451.632974737,-0.0593397878110409,-57.9179895237023,35.3041002588577,08122019_965
088,2176.015,17:31:00,2019/12/08,202.75,0,0,0,0,0,254500.154795545,7708491.90856233,-41.35712,-20.7070065833333,978581.261803888,-0.0421190597116947,-56.5588387333235,-33.8718241693235,08122019_965
089,2215.185,09:04:00,2019/12/09,228.62,0,0,0,0,0,255687.568786622,7712750.1947691,-41.3451353333333,-20.6687168611111,978567.34661171,0.139770522713661,-63.1022639240473,-37.5204870085273,09122019_996
090,2207.54,09:27:00,2019/12/09,269.02,0,0,0,0,0,255623.018655921,7713296.19373369,-41.3456788333333,-20.6637789444444,978559.667171406,0.149178966879845,-62.5408576215476,-32.4384622676276,09122019_996
091,2206.84,09:47:00,2019/12/09,273.03,0,0,0,0,0,255721.405323273,7713804.48526341,-41.3446646111111,-20.6592027222222,978558.966997224,0.154421091079712,-62.1796804552883,-31.6285801524083,09122019_996
092,2200.255,10:09:00,2019/12/09,300.77,0,0,0,0,0,255529.284036995,7714296.61962882,-41.34643925,-20.6547344722222,978552.346483135,0.156847432255745,-63.0776433293528,-29.4225342274328,09122019_996
093,2195.6,10:35:00,2019/12/09,317.21,0,0,0,0,0,255331.855024793,7714825.29206068,-41.3482596388889,-20.6499356388889,978547.662102792,0.155105784535408,-64.2425416660289,-28.7478541698689,09122019_996
094,2188.415,11:03:00,2019/12/09,350.31,0,0,0,0,0,255124.567920291,7715271.56463316,-41.3501859166667,-20.6458794444444,978540.428011219,0.147724539041519,-64.7243998463472,-25.5259383325872,09122019_996
095,2181.095,11:24:00,2019/12/09,379.33,0,0,0,0,0,254845.861980273,7715796.4577322,-41.3527861666667,-20.6411040833333,978533.057028086,0.138646021485329,-66.1029190112113,-23.6572211835313,09122019_996
096,2176.66,11:45:00,2019/12/09,408.65,0,0,0,0,0,254504.438073946,7715868.20277379,-41.3560508055556,-20.6404116666667,978528.584146971,0.126802027225494,-64.7673603633287,-19.0408572729287,09122019_996
097,2169.705,12:12:00,2019/12/09,432.71,0,0,0,0,0,254519.12223765,7716403.06782662,-41.3558355833333,-20.6355846388889,978521.570020272,0.10804233700037,-66.7616401840626,-18.3429073999026,09122019_996
098,2165.265,12:38:00,2019/12/09,455.62,0,0,0,0,0,254291.631236173,7716617.1758622,-41.3579875833333,-20.6336218055556,978517.082525463,0.0870037227869034,-66.6259567974683,-15.6436752899483,09122019_996
099,2169.805,13:07:00,2019/12/09,447.2,0,0,0,0,0,254250.921946541,7715732.36905698,-41.3585011944444,-20.6416048055556,978521.619443722,0.0612231232225895,-64.2203100454888,-14.1801970342889,09122019_996
100,2163.255,13:27:00,2019/12/09,479.6,0,0,0,0,0,254029.002301199,7715961.3746103,-41.3605977222222,-20.6395081666667,978515.013361196,0.0427318997681141,-64.3285447659217,-10.6629852843217,09122019_996
101,2146.33,13:51:00,2019/12/09,579.12,0,0,0,0,0,253799.055451705,7716140.28872103,-41.3627781666667,-20.6378626944444,978497.971197073,0.0205348432064056,-61.6972493834647,3.10424938005534,09122019_996
102,2132.56,14:13:00,2019/12/09,656.92,0,0,0,0,0,253356.119750959,7715987.9600897,-41.3670475555556,-20.63917975,978484.104058867,0.000854567857459188,-60.339545894667,13.167500257653,09122019_996
103,2117.47,14:40:00,2019/12/09,738.03,0,0,0,0,0,252898.909201437,7716127.69064695,-41.3714130277778,-20.6378580277778,978468.90656991,-0.0215248763561249,-59.504080653927,23.078890288953,09122019_996
104,2097.57,15:22:00,2019/12/09,843.97,0,0,0,0,0,251708.898811825,7716579.61496437,-41.3827625,-20.6336207777778,978448.865162243,-0.0501933060586452,-58.455006485808,35.982279243312,09122019_996
105,2100.9,15:45:00,2019/12/09,833.97,0,0,0,0,0,251562.596256249,7716349.16819936,-41.3841980277778,-20.6356819166667,978452.200092398,-0.0617769025266171,-57.2097135448613,36.1086072242587,09122019_996
106,2099.22,16:08:00,2019/12/09,838.33,0,0,0,0,0,251346.976177961,7716475.51743792,-41.3862481388889,-20.6345126388889,978450.500860179,-0.0699678733944893,-57.9817601601069,35.8244293315731,09122019_996
107,2098.67,16:28:00,2019/12/09,834.37,0,0,0,0,0,251013.838781692,7716719.45192941,-41.3894086666667,-20.6322661666667,978449.942073138,-0.0741636082530022,-59.1858140603825,34.1772653071375,09122019_996
108,2127.165,09:03:00,2019/12/10,382.31,0,0,0,0,0,243912.269687238,7714463.88754331,-41.45784,-20.6516725555556,978532.109608264,0.132796093821526,-67.093315298219,-24.314165912459,10122019_965
109,2123.605,09:32:00,2019/12/10,398.51,0,0,0,0,0,244432.512634023,7714818.23235555,-41.452799,-20.6485446666667,978528.531221708,0.151574984192848,-67.2989391104999,-22.7070664895399,10122019_965
110,2118.405,09:54:00,2019/12/10,427.03,0,0,0,0,0,244959.073617581,7715078.55165944,-41.4477111944444,-20.6462663055556,978523.286560545,0.162100851535797,-66.7980941205757,-19.0149334336957,10122019_965
111,2111.84,10:19:00,2019/12/10,467.2,0,0,0,0,0,245545.723886528,7715327.19926042,-41.4420489166667,-20.6441013055556,978516.659354623,0.169691279530525,-65.395004735204,-13.116961804004,10122019_965
112,2082.19,10:45:00,2019/12/10,630.2,0,0,0,0,0,245682.218231412,7714427.08808999,-41.4408696111111,-20.6522458333333,978486.696487938,0.172332718968391,-63.7807303699434,6.73644140925663,10122019_965
113,2096.12,11:18:00,2019/12/10,552.02,0,0,0,0,0,246128.567359476,7715547.55513028,-41.4364273611111,-20.642191,978500.771091133,0.167818456888199,-64.4855105269102,-2.71640680499024,10122019_965
114,2093.12,11:38:00,2019/12/10,569.13,0,0,0,0,0,246745.857184085,7715633.09800062,-41.4304949166667,-20.6415022222222,978497.733244704,0.160887509584427,-64.1168329324487,-0.433180163968672,10122019_965
115,2095.425,11:58:00,2019/12/10,557.64,0,0,0,0,0,247289.966562472,7715874.69245248,-41.425242,-20.6393945555556,978500.053660759,0.150986045598984,-63.9310545128579,-1.53309248341793,10122019_965
116,2099.815,12:23:00,2019/12/10,536.69,0,0,0,0,0,247582.465381466,7716041.29735528,-41.4224129722222,-20.6379298611111,978504.475140711,0.134826347231865,-63.543262777474,-3.48953233923396,10122019_965
117,2096.145,12:51:00,2019/12/10,554.46,0,0,0,0,0,247633.917995649,7715782.67150328,-41.4219565,-20.6402716388889,978500.745140385,0.112489692866802,-63.9172784277712,-1.87514725561124,10122019_965
118,2092.545,13:13:00,2019/12/10,575.4,0,0,0,0,0,247719.809253388,7715494.54715029,-41.4211739444444,-20.6428843611111,978497.08794713,0.0924834683537483,-63.6110895696574,0.774154228742617,10122019_965
