Line;Station;longitude;latitude;gravity_mgal;LAT_RAD;height_sea_level_m;;GTEO;CAR;AR_LIVRE;CB;BG;LAT_SIRGAS;FID;INSTITUICAO;LONG_SIRGAS
2104;na;-41.5464;-20.2397;978432.0500;-0.3532;771.89;;9.7865;-0.002382;20.147914;0.000864;-66.23;-20.2397;2636;ON;-41.5464
2104;na;-41.5367;-20.2367;978425.8800;-0.3532;802.56;;9.7865;-0.002477;23.618352;0.000898;-66.19;-20.2367;2637;ON;-41.5367
2104;na;-41.3378;-20.2408;978380.1400;-0.3533;1034.38;;9.7865;-0.003192;49.177908;0.001157;-66.57;-20.2408;2638;ON;-41.3378
2104;na;-41.6150;-20.2697;978447.1900;-0.3538;703.76;;9.7865;-0.002172;12.505053;0.000788;-66.25;-20.2697;2639;ON;-41.6150
2104;na;-41.1511;-20.3289;978447.2700;-0.3548;723.33;;9.7866;-0.002232;15.149016;0.000809;-65.79;-20.3289;2640;ON;-41.1511
2104;na;-41.1783;-20.3361;978449.3400;-0.3549;714.79;;9.7866;-0.002206;14.160323;0.000800;-65.82;-20.3361;2641;ON;-41.1783
2104;na;-41.1425;-20.3256;978447.6800;-0.3547;724.40;;9.7866;-0.002235;16.083166;0.000811;-64.98;-20.3256;2642;ON;-41.1425
2104;na;-41.1275;-20.3353;978451.3700;-0.3549;731.12;;9.7866;-0.002256;21.276795;0.000818;-60.54;-20.3353;2643;ON;-41.1275
2104;na;-41.3117;-20.2500;978374.8400;-0.3534;1043.51;;9.7865;-0.003220;46.156529;0.001168;-70.61;-20.2500;2644;ON;-41.3117
2104;na;-41.1689;-20.3356;978446.7400;-0.3549;720.44;;9.7866;-0.002223;13.333309;0.000806;-67.28;-20.3356;2645;ON;-41.1689
2104;na;-41.2439;-20.3683;978472.0300;-0.3555;610.00;;9.7866;-0.001882;2.617746;0.000683;-65.64;-20.3683;2646;ON;-41.2439
2104;na;-41.1336;-20.3269;978448.2300;-0.3548;731.79;;9.7866;-0.002258;18.837319;0.000819;-63.05;-20.3269;2647;ON;-41.1336
2104;na;-41.1978;-20.3375;978451.3200;-0.3550;720.54;;9.7866;-0.002224;17.832460;0.000806;-62.80;-20.3375;2648;ON;-41.1978
2104;na;-41.0750;-20.3600;978414.2400;-0.3553;938.50;;9.7866;-0.002896;46.691387;0.001050;-58.33;-20.3600;2649;ON;-41.0750
2104;na;-41.0678;-20.3636;978417.5100;-0.3554;933.11;;9.7866;-0.002880;48.086156;0.001044;-56.33;-20.3636;2650;ON;-41.0678
2104;na;-41.1103;-20.3422;978435.8100;-0.3550;800.42;;9.7866;-0.002470;26.697058;0.000896;-62.87;-20.3422;2651;ON;-41.1103
2104;na;-41.1183;-20.3381;978449.1600;-0.3550;745.23;;9.7866;-0.002300;23.256515;0.000834;-60.13;-20.3381;2652;ON;-41.1183
2104;na;-41.0844;-20.3556;978409.9000;-0.3553;956.43;;9.7866;-0.002952;48.143504;0.001070;-58.88;-20.3556;2653;ON;-41.0844
2104;na;-41.0925;-20.3500;978414.9400;-0.3552;917.76;;9.7866;-0.002832;41.579408;0.001027;-61.12;-20.3500;2654;ON;-41.0925
2104;na;-41.1028;-20.3478;978425.6800;-0.3551;854.59;;9.7866;-0.002637;32.954558;0.000956;-62.67;-20.3478;2655;ON;-41.1028
2104;na;-41.1878;-20.3369;978451.3300;-0.3549;711.21;;9.7866;-0.002195;14.998499;0.000796;-64.59;-20.3369;2656;ON;-41.1878
2104;na;-41.3181;-20.2422;978379.2300;-0.3533;1019.77;;9.7865;-0.003147;43.677269;0.001141;-70.43;-20.2422;2657;ON;-41.3181
2104;na;-41.2778;-20.2617;978372.4500;-0.3536;1061.15;;9.7865;-0.003275;48.524603;0.001187;-70.22;-20.2617;2658;ON;-41.2778
2104;na;-41.2597;-20.2822;978374.6300;-0.3540;1056.71;;9.7865;-0.003261;48.132310;0.001182;-70.11;-20.2822;2659;ON;-41.2597
2104;na;-41.2697;-20.2669;978374.8300;-0.3537;1050.52;;9.7865;-0.003242;47.319355;0.001176;-70.23;-20.2669;2660;ON;-41.2697
2104;na;-41.2125;-20.3239;978441.8300;-0.3547;759.66;;9.7866;-0.002344;21.214304;0.000850;-63.79;-20.3239;2661;ON;-41.2125
2104;na;-41.2864;-20.2575;978364.7500;-0.3536;1101.44;;9.7865;-0.003399;53.504259;0.001233;-69.75;-20.2575;2662;ON;-41.2864
2104;na;-41.2956;-20.2600;978366.8000;-0.3536;1090.13;;9.7865;-0.003364;51.917473;0.001220;-70.07;-20.2600;2663;ON;-41.2956
2104;na;-41.3050;-20.2567;978370.9600;-0.3535;1062.89;;9.7865;-0.003280;47.864612;0.001189;-71.07;-20.2567;2664;ON;-41.3050
