Station,Reading,Time,Date,height_sea_level_m,X,Y,longitude,latitude,gravity_mgal,TideCorr,Source
56,2094.89,16:29:00,2019/12/06,586.55,252883.227766864,7711237.71334783,-41.3722489166667,-20.6820037777778,978499.306040797,-0.00426302570849657,06122019_965
57,2211.08,09:37:00,2019/12/07,266.99,253172.325518467,7710252.15158346,-41.3696136666667,-20.6909398055556,978563.146062956,0.113859727978706,07122019_996
58,2219925,10:01:00,2019/12/07,224.79,253678.421356316,7710394.54911307,-41.3647381944444,-20.6897209444444,978572.033317914,0.109211750328541,07122019_996
59,2219.14,10:24:00,2019/12/07,215.35,253920.58277804,7710800.76990744,-41.3623580833333,-20.6860853611111,978571.235168412,0.102051623165607,07122019_996
60,2228.05,11:03:00,2019/12/07,175.31,254306.855698838,7711026.16078115,-41.3586207777778,-20.68410125,978580.17390513,0.0846182629466057,07122019_996
61,2243.82,11:28:00,2019/12/07,96.85,255426.138263575,7711096.86273543,-41.3478728055556,-20.6836096111111,978596.01483731,0.0706326961517334,07122019_996
62,2227.72,11:57:00,2019/12/07,163.35,255413.798356323,7712080.51269666,-41.3478545555556,-20.67472725,978579.806172949,0.0526263527572155,07122019_996
63,2251225,13:26:00,2019/12/07,104.18,251068.766158985,7705605.08974035,-41.3904534722222,-20.7326148611111,978603.377626327,-0.00372833665460348,07122019_996
64,2253275,13:48:00,2019/12/07,101.52,250744.783844344,7704179.26276968,-41.3937651388889,-20.7454439722222,978605.425582892,-0.0154475858435035,07122019_996
65,2257.06,14:13:00,2019/12/07,100.66,251735.430525971,7702023.16038077,-41.3845628888889,-20.7650415277778,978609.218362722,-0.0266680028289557,07122019_996
66,2257.5,14:35:00,2019/12/07,106.08,251314.090340499,7700200.00296268,-41.3888661111111,-20.7814447777778,978609.651553298,-0.0342982411384583,07122019_996
67,2248.94,15:04:00,2019/12/07,132.94,247853.840004266,7700826.15844694,-41.4219926944444,-20.7753263888889,978601.035902817,-0.0407607033848763,07122019_996
68,2221445,15:51:00,2019/12/07,200.06,240883.882958248,7712005.18082178,-41.4872463333333,-20.6734520833333,978573.385006339,-0.0420182384550571,07122019_996
69,2216265,16:12:00,2019/12/07,208.63,241587.276821072,7712158.77005895,-41.4804767222222,-20.6721628055556,978568.178120345,-0.0388877354562283,07122019_996
70,2198.83,16:38:00,2019/12/07,303.61,242213.541952675,7712525.3272687,-41.4744158611111,-20.6689400555556,978550.652118903,-0.0321067348122597,07122019_996
71,2156065,08:48:00,2019/12/08,239.06,242989.888850535,7715872.53791279,-41.4664813333333,-20.6388295277778,978561.334848516,0.127867609262466,08122019_965
72,2151515,09:16:00,2019/12/08,252.25,244117.317622999,7718900.79354175,-41.4552304444444,-20.6116455277778,978556.739419339,0.135246694087982,08122019_965
73,2149.38,09:41:00,2019/12/08,254.52,246184.93092545,7718712.57742981,-41.4354319722222,-20.6136253333333,978554.580459988,0.137620583176613,08122019_965
74,2128.54,10:07:00,2019/12/08,369.87,246654.124708361,7717873.90445923,-41.4310531944444,-20.6212601388889,978533.510129855,0.135768696665764,08122019_965
75,2146985,10:40:00,2019/12/08,256.79,247424.038345035,7718833.12181991,-41.4235331666667,-20.6127041666667,978552.141488122,0.127244278788567,08122019_965
76,2136435,11:02:00,2019/12/08,301.89,248424.683924815,7718788.98199631,-41.4139444166667,-20.613237,978541.465384798,0.117963165044785,08122019_965
77,2085.87,11:56:00,2019/12/08,575.85,249773.933880652,7718940.02266321,-41.4009851388889,-20.6120536944444,978490.317292206,0.0852210819721222,08122019_965
78,2066.83,12:17:00,2019/12/08,690.92,249899.664298396,7718517.46504436,-41.3998393055556,-20.6158853333333,978471.057182893,0.0696869716048241,08122019_965
